id, title, last_refresh_time, created_time, highlighted, urgent, top_ad, price, currency, negotiable, previous_value, business, locationID, locationName, regionID, regionName, categoryID, categoryName, delivery, safeDeal, url
214645551,Iphone 11,2021-04-22T10:12:03+03:00,2021-02-04T19:56:50+02:00,False,False,False,2500,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-11-IDevD71.html
219235675,Iphone 11 pro max,2021-04-21T22:58:17+03:00,2021-04-21T22:57:18+03:00,False,False,False,3390,RON,True,,True,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-11-pro-max-IDePTdh.html
219064057,"Vand iphone 6s,64gb",2021-04-19T11:33:26+03:00,2021-04-19T11:32:41+03:00,False,False,False,350,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/vand-iphone-6s-64gb-IDePazf.html
219041072,IPhone 12 Pro Max 5G| NOU | BLUE | Full Box | Folie | Garantie 02/2022,2021-04-18T20:27:28+03:00,2021-04-18T20:22:03+03:00,False,False,False,4849,RON,True,,True,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-12-pro-max-5g-nou-blue-full-box-folie-garantie-02-2022-IDeP4Av.html
219013335,iPhone 6 16GB iOS 14.2 baterie 100%,2021-04-18T11:26:05+03:00,2021-04-18T11:25:24+03:00,False,False,False,499,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6-16gb-ios-14-2-baterie-100-IDeOXn9.html
198506562,Iphone 6 alb 32 gb,2021-04-18T10:07:20+03:00,2020-03-06T13:45:38+02:00,False,False,False,520,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6-alb-32-gb-IDdqUCK.html
217041915,Iphone 8 64 GB Neverlock,2021-04-15T18:51:27+03:00,2021-03-16T17:51:35+02:00,False,False,False,1049,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8-64-gb-neverlock-IDeGGv3.html
216367498,Iphone 11 pro,2021-04-15T08:16:48+03:00,2021-03-06T13:24:22+02:00,False,False,False,2890,RON,True,,True,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-11-pro-IDeDR4m.html
216929539,Iphone 11 -128gb,2021-04-15T08:15:04+03:00,2021-03-15T08:26:01+02:00,False,False,False,2550,RON,True,,True,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-11-128gb-IDeGdhx.html
218025033,Iphone 12 pro max 512 Gb,2021-04-28T17:17:29+03:00,2021-04-01T17:15:31+03:00,True,False,True,5990,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-12-pro-max-512-gb-IDeKOgN.html
